id;calle3;numero;depto_normal;manzana_normal;lote_normal
342550;B° SAN LUIS XV(15);C: 03;;M: G;
342551;B° J.DE DIOS GARRO;C: 04;;M:LL;
342552;B° L.RODRIGUEZ;C: 05;;M: F;
342553;B° SAN LUIS XV(15);C: 05;;M: E;
342554;B° JARDIN DEL SUR;C: 06;;M: F;
342555;B° EST.DEL SUR;C: 09;;M: A;
342556;B° 109 VIV.;C: 1;;M: E;
342557;B° 109 VIV.;C: 1;;M: E;
342558;B° SAN LUIS XXIII;C: 1;;M: E;
342559;B° L.RODRIGUEZ;C: 10;;M: Z;
342560;B° 544 VIV.;C: 10;;MZ T;
342561;B° SAN LUIS XV(15);C: 11;;M: N;
342562;B° 544 VIV.;C: 11;;MZ T;
342563;B° L.RODRIGUEZ;C: 12;;M: X;
342564;B° JARDIN DEL SUR;C: 12;;M: D;
342565;B° J.DE DIOS GARRO;C: 13;;M: Q;
342566;B° EL HORNERO;C: 13;;M: A;
342567;B° L.RODRIGUEZ;C: 13;;M: V;
342568;B° PUCARA;C: 15;;M: A;
342569;B° SAN LUIS XXIII;C: 17;;M: E;
342570;B° PUCARA;C: 18;;M: B;
342571;B° J.F.BOGADO;C: 18;;M: C;
342572;B° SAN LUIS XV(15);C: 19;;M: K;
342573;B° 200 VIV.SUR;C: 19;;M: A;
342574;B° P.MUJICA;C: 2;;M: E;
342575;B° SAN LUIS XV(15);C: 20;;M: G;
342576;B° M.TORO;C: 20;;P;
342577;B° M.TORO;C: 20;;M: I;
342578;B° SAN LUIS XV(15);C: 22;;M: H;
342579;B° P.MUJICA;C: 3;;M: F;
342580;B° L.RODRIGUEZ;C: 4;;M: C;
342581;B° J.DE DIOS GARRO;C: 5;;M. C3;
342582;B° SAN LUIS XV(15);C: 5;;M: I;
342583;B° VIRGEN DE LUJAN;C: 5;;M: B;
342584;B° J.DE DIOS GARRO;C: 6;;M: N;
342585;B° M.TIBILETTI;C: 639;;;
342586;B° F.AMERICANOS;C: 7;;M: A;
342587;B° 544 VIV.;C: 7;;MZ C;
342588;B° 544 VIV.;C: 7;;MZ D;
342589;B° F.AMERICANOS;C: 8;;M: C;
342590;B° 544 VIV.;C: 9;;MZ C;
342591;B° L.RODRIGUEZ;C.1;;;S
342592;B° J.P.PAYER;M: 1;C: 2;;
342593;B° 500 VIV.SUR;M: 108;C: 5;;
342594;B° 500 VIV.SUR;M: 109;C: 12;;
342595;B° S.PUNTANAS;M: 11;C: 10;;
342596;B° 500 VIV.SUR;M: 117;C: 7;;
342597;B° 500 VIV.SUR;M: 135;C: 13;;
342598;B° EL LINCE;M: 14;C: 30;;
342599;B° 500 VIV.SUR;M: 144;C: 14;;
342600;B° 500 VIV.SUR;M: 150;C:6;;
342601;B° 500 VIV.SUR;M: 156;C: 3;;
342602;B° EL LINCE;M: 17;C: 11;;
342603;B° ESTRELLA DEL SUR;M: 189;C: 11;;
342604;B° EST.DEL SUR;M: 196;C: 13;;
342605;B° 110 VIV.;M: 196;C: 25;;
342606;B° SAN LUIS XXVI(26);M: 2;C: 27;;
342607;B° S.PUNTANAS;M: 225;C: 8;;
342608;B° S.PUNTANAS;M: 229;C: 13;;
342609;B° S.PUNTANAS;M: 232;C: 10;;
342610;B° S.PUNTANAS;M: 232;C: 8;;
342611;B° N.KIRCHNER;M: 235;C: 17;;
342612;B° M.DEL PORTEZUELO;M: 29;C: 4;;
342613;B° EL LINCE;M: 36;C: 24;;
342614;B° EL LINCE;M: 40;C: 29;;
342615;B° EL HORNERO;M: 7;C: 13;;
342616;B° F.AMERICANOS;M: 77;C: 11;;
342617;B° 500 VIV.SUR;MZ.105;C.13;;
342618;B° ESTRELLA DEL SUR;MZ.11;C.15;;
342619;B° 111 VIV.;MZ.11 B;27;;
342620;B° 500 VIV.SUR;MZ.151;C.20;;
342621;B° M.DEL PORTEZUELO;MZ.2;11;;
342622;B° N.KIRCHNER;MZ.233;C.6;;
342623;B° N.KIRCHNER;MZ.235;C.3;;
342624;B° S.PUNTANAS;MZ.237;C.8;;
342625;B° S.PUNTANAS;MZ.237;18;;
342626;B° EL FARO I;MZ.246;C.5;;
342627;B° EL FARO I;MZ.248;C.14;;
342628;B° M.DEL PORTEZUELO;MZ.31;C.7;;
342629;B° S.PUNTANAS;MZ.34;5;;
342630;B° S.PUNTANAS;MZ.9;C.20;;
342631;RUTA PROV.N°19;S/N;;;
342632;RUTA PROV.N°19;S/N;;;
342633;B° 109 VIV.;S/N;C:5;;
342634;B° S.PUNTANAS;S/N;;260;16
342635;B° S.PUNTANAS;S/N;;248;6
342636;B° S.PUNTANAS;S/N;;152;6
342637;B° S.PUNTANAS;S/N;;260;16
342638;B° S.PUNTANAS;S/N;;;
342639;B° S.PUNTANAS;S/N;;;
342640;B° S.PUNTANAS;S/N;;;
342641;B° S.PUNTANAS;S/N;;;
342642;B° P.MUJICA;S/N;;D;17
342643;B° M.DEL PORTEZUELO;S/N;;;
342644;B° M.DEL PORTEZUELO;S/N;;14;12
342645;B° M.DEL PORTEZUELO;S/N;;;
342646;B° 500 VIV.SUR;S/N;;123;02
342647;B° 500 VIV.SUR;S/N;;;
342648;B° 500 VIV.SUR;S/N;03;143;
342649;B° 500 VIV.SUR;S/N;10;130;
342650;T.ARGENTINOS;S/N;;;
342651;T.ARGENTINOS;S/N;;;
342652;B° J.F.BOGADO;S/N;;;
342653;B° PUCARA;S/N;;;
342654;MZA H CASA 5;S/N;;;
342655;RUTA NAC.N°146;S/N;;;6
342656;COSTANERA;S/N;;;
342657;RUTA PROV.N°19;S/N;;;
342658;CHACHO PEÑALOZA Y JULIO A ROCA;S/N;;;
342659;RUTA 7 Y PEDRO VELAZQUEZ;S/N;;;
342660;MZA 233 CASA 11;S/N;;;
342661;MZA B CASA 1;S/N;;;
342662;MZNA C CASA 11;S/N;;;
342663;C.PEÑALOZA;S/N;;;
342664;C.PEÑALOZA;S/N;;;
342665;RUTA PROV.N°19;S/N;;;
342666;O.V.ANDRADE;S/N;;;
342667;EX ADUANA;S/N;;;
342668;RIOBAMBA SUR;S/N;;;
342669;PARCELA 9 MZNA 383;S/N;;;
342670;GERBACIO ESCUDERO;S/N;;;
342671;B° UNION ALLENDE;S/N;;;
342672;AV.J.A.ROCA;S/N;;;
342673;RUTA PROV. N° 3 KM 4 EXT SUR;S/N;;;
342674;MZNA 15 CASA 14;S/N;;;
342675;MZNA A CASA 05;S/N;;;
342676;MZNA 110 CASA 16;S/N;;;
342677;RIOBAMBA EXTREMO SUR;S/N;;;
342678;12 KMS AL OESTE;S/N;;;
342679;Bº 132 VIV M:;S/N;20;C;
342680;MZNA A CASA 5;S/N;;;
342681;B° SAN LUIS XV(15);S/N;13;A;
342682;RUTA PROV.N° 3;S/N;;;
342683;MANZ. D CASA 1;S/N;;;
342684;MZNA 196 CASA 6;S/N;;;
342685;RUTA PROV.N°19;S/N;;;
342686;MZNA 195 CASA 14;S/N;;;
342687;C.PEÑALOZA;S/N;;;
342688;C.PEÑALOZA;S/N;;;
342689;B° EL LINCE;S/N;;;
342690;RUTA PROV.N° 3;S/N;;;
342691;Bº L.RODRIGUEZ, MZ: P C:11A;S/N;;;
342692;Bº EL HORNERO MZ:  C 02;S/N;;;
342693;Bº SERRANIAS PUNTANAS MZAN 7 CASA 10;S/N;;;
342694;B° LUCAS RODRIGUEZ MZ: S C:;S/N;;;
342695;MANZANA 23 - CASA 15;S/N;;;
342696;C.PEÑALOZA;S/N;;;
342697;B° L.RODRIGUEZ;S/N;4;;
342698;MZNA Z1 CASA 03;S/N;;;
342699;RUTA PROV SUR KM 13 Y 1/2;S/N;;;
342700;Bº LOS VAGONES CHACHO PEÑALOZA;S/N;;;
342701;RUTA PROVINCIAL 3 SUR KM 13,5;S/N;;;
342702;BøEL HORNERO MZ.A C.7;S/N;;MZ.A;
342703;B° M TORO- MZ D- C.16;S/N;;;
342704;B° EL HORNERO MZ:B;S/N;C:08;;
342705;B° M.LEZCANO MZ:J CS:27;S/N;;;
342706;B° EL LINCE MZ.24 CS.7;S/N;;;
342707;Bø L.RODRIGUEZ M:;S/N;V C15;;
342708;C.DEL ROSARIO;S/N;717;;
342709;B° EL HORNERO M:;S/N;HC:19;;
342710;B° SAN LUIS 23 MZ.E C.8;S/N;;MZ.E;
342711;B° M.LEZCANO M:M C:15;S/N;;;
342712;B° EL HORNERO MZ.D C.26;S/N;;MZ.D;
342713;B° FELIX BOGADO M:O;S/N;C:11;;
342714;B°L.RODRIGUEZ MZ.G C.21;S/N;;MZ.G;
342715;B° J.F.BOGADO MZ.E CS.9;S/N;;MZ.E;
342716;B° F.BOGADO MZ.I CS.8;S/N;;MZ.I;
342717;Bø M.LEZCANO MZA.L CS.12;S/N;;;
342718;B° EL HORNERO MZ.A C 22;S/N;;MZ.A;
342719;Bø 544 VIV. MZ.E C.5;S/N;;MZ E;
342720;B° EL LINCE MZ.30 CS.2;S/N;;;
342721;Bø FELIZ BOGADO M:C C:3;S/N;;;
342722;RUTA 3 KM.4 LOTE 60;S/N;;;
342723;B° 544 VDAS MZ.D CS.23;S/N;;MZ D;
342724;B° 544 VIV. M:C;S/N;C:07;;
342725;B° J.F.BOGADO MZ.J CS.1;S/N;;;
342726;B° L.RODRIGUEZ MZ.R CS.13;S/N;;;
342727;B° J.DEL SUR MZ.D CS.21;S/N;;MZ.D;
342728;B° SAN LUIS XV MZ:G;S/N;C:8;;
342729;B° EL LINCE MZ.16 CS.25;S/N;;;
342730;B°PUCARA MZ.B C.9;S/N;;MZ.B;
342731;B° M.LEZCANO MZ:I CS:7;S/N;;;
342732;B° J.DE DIOS GARRO MZ:D;S/N;C:4;;
342733;B° M.TIBILETTI CALLE 45;S/N;C.595;;
342734;B° EL HORNERO M:;S/N;D C11;;
342735;B° PUCARA MZ.E;S/N;C:05;MZ.E;
342736;B° J. DEL SUR M:H;S/N;C:19;;
342737;B° EL HORNERO MZ.F CS. 9;S/N;;MZ.F;
342738;B° E.DEL SUR MZA.E CS.76;S/N;;;
342739;B° M.TORO MZ:LL;S/N;CS:1;;
342740;BøLUCAS RODRIGUEZ M:X C:2;S/N;;;
342741;PADRE MUGICA MZ:G;S/N;C:01;;
342742;B° MANUEL LEZCANO MZA Ñ;S/N;C.10;;
342743;B° 144 VDAS MZ B;S/N;C:8;;
342744;B° 544 VIV. MZ.N CS.19;S/N;;;
342745;B° MAXIMILIANO TORO M:K;S/N;C:20;;
342746;B° M.TORO MZ.LL CS.12;S/N;;;
342747;B° M.LEZCANO MZ.I CS.17;S/N;;MZ.I;
342748;B° TIBILETTI CALLE 45;S/N;;;
342749;Bø J.F.BOGADO;S/N;DC:6;;
342750;B° 544 VIV. MZ:;S/N;A.C14;;
342751;B° EL LINCE MZ.189 CS.23;S/N;;;
342752;LUCAS RODRIGUEZ MZA Z;S/N;C:3;;
342753;B° M.TORO MZ.G CS.23;S/N;;MZ.G;
342754;B°EL HORNERO MZ.6 C.3;S/N;;;
342755;Bø L.RODRIGUEZ M:;S/N;W C:8;;
342756;B° M.LEZCANO MZ.B CS.8;S/N;;MZ.B;
342757;B° M.LEZCANO MZ.G CS.2;S/N;;MZ.G;
342758;Bø M.TORO;S/N;P C17;;
342759;B° SAN LUIS XXVI(26) MZ.1;S/N;1 CS.;;
342760;B° 544 VIV. MZ.R CS.8;S/N;;;
342761;Bø SAN LUIS XV MZ.B CS.14;S/N;;MZ.B;
342762;B° 544 VIV. MZ.M CS.2;S/N;;;
342763;B° EL LINCE MZ.39 C.7;S/N;;;
342764;B° SAN LUIS XV M:;S/N;N C18;;
342765;B° J.F.BOGADO MZ.A CS.20;S/N;;MZ.A;
342766;Bø J.F.BOGADO M:;S/N;Q C11;;
342767;B° L.RODRIGUEZ MZ.U C.5;S/N;;;
342768;B° M.LEZCANO MZ.H CS.25;S/N;;MZ.H;
342769;B° J.DE DIOS GARRO MZ.M C;S/N;CS.15;;
342770;B° J.DEL SUR M:B;S/N;C:04;;
342771;B° EL LINCE MZ.14 CS.11;S/N;;;
342772;B° J.F.BOGADO M:;S/N;F.C5;;
342773;B° F.BOGADO MZ.N CS.27;S/N;;;
342774;Bø S.LUIS XV MZ.L CS.24;S/N;;;
342775;BøM.LEZCANO MZ:;S/N;E.C10;;
342776;B° EL LINCE M:39 C:9;S/N;;;
342777;B° M.TORO MZ.P CS.9;S/N;;;
342778;B° JARDIN DEL SUR MZ.G CS;S/N;S.11;MZ.G;
342779;B° J.F.BOGADO MZ:B CS:17;S/N;;;
342780;B° VALLE DEL SOL M:;S/N;KC:16;;
342781;B° J.F.BOGADO M:;S/N;N C:2;;
342782;Bø ESTRELLA DEL SUR M:E;S/N;C:78;;
342783;B° SAN LUIS XXVIMZ:3 CS:7;S/N;;;
342784;B° L.RODRIGUEZ MZ.C CS.6;S/N;;MZ.C;
342785;B° LUCAS RODRIGUEZ M:I 3;S/N;C:03;;
342786;Bø SAN LUIS XXIII;S/N;E.C1;;
342787;B°114 VIV.MZ.192 C.10;S/N;;;
342788;B° EL LINCE, MZ.21, C.5;S/N;;;
342789;B° L.RODRIGUEZ M:;S/N;Q C:3;;
342790;ESTRELLA DEL SUR M:E;S/N;C:71;;
342791;B° J.DE DIOS GARRO MZ.L C;S/N;CS.23;;
342792;B° JARDIN DEL SUR M:E;S/N;C:4;;
342793;B° M.LEZCANO MZ.M C.14;S/N;;;
342794;B° M.TORO M:P C:5;S/N;;;
342795;BøF.AMERICANOS MZ.A;S/N;C.01;MZ.A;
342796;B°M.LEZCANO MZ.A C.6;S/N;;MZ.A;
342797;B° L.RODRIGUEZ MZ.D CS.2;S/N;;MZ.D;
342798;B° EL LINCE MZ.31 CS.15;S/N;;;
342799;B° M.TORO MZ:O CS:17;S/N;;;
342800;B° M.LEZCANO MZ.F CS.11;S/N;;MZ.F;
342801;B° EL LINCE MZ.36 CS.29;S/N;;;
342802;B° MANUEL LEZCANO MZ:B;S/N;CS:01;;
342803;B° EL HORNERO M:B C:3;S/N;;;
342804;B°J.DE DIOS GARRO M:M C:4;S/N;;;
342805;Bø M.TORO M:;S/N;M C:4;;
342806;B° J.F.BOGADO MZ.1 CS.14;S/N;;;
342807;B° S.LUIS 26 MZ:4 CS:4;S/N;;;
342808;B° EL LINCE MZ.18 CS.18;S/N;;;
342809;Bø114 VIV. MZ.189 C.5;S/N;;;
342810;Bø EL HORNERO MZ.B CS.6;S/N;;MZ.B;
342811;B° MANUEL LEZCANO M:Ñ;S/N;C:05;;
342812;B° LUCAS RODRIGUEZ M:;S/N;C C20;;
342813;B° J.F.BOGADO MZ.I C.13;S/N;;MZ.I;
342814;Bø 544 VIV.-M.'J'-C.26-;S/N;;;
342815;B° M.TORO MZ.;S/N;E.C:1;;
342816;B° L.RODRIGUEZ MZ.F CS.10;S/N;;MZ.F;
342817;B° J.DE D.GARRO MZ.E5 C.1;S/N;;MZ.E;
342818;B° EL HORNERO MZ.3 C.5;S/N;;;
342819;B° M.TORO MZ.D CS.1;S/N;;MZ.D;
342820;B° M.LEZCANO MZ.I CS.3;S/N;;MZ.I;
342821;BøEL LINCE MZA 36;S/N;C.22;;
342822;B° 110 VIV. MZ.44 CS.1;S/N;;;
342823;B° EL HORNERO M: G;S/N;C:05;;
342824;B° EL HORNERO MZ.D C.24;S/N;;MZ.D;
342825;B° EL HORNERO M:I;S/N;C:22;;
342826;Bø EL LINCE MZ:;S/N;26C19;;
342827;B° M.TORO MZ.B CS.2;S/N;;MZ.B;
342828;B° M.LEZCANO MZ:K CS:21;S/N;;;
342829;B° M.TORO MZ.G CS.15;S/N;;MZ.G;
342830;B° TIBILETTI COSTANERA SU;S/N;1600;;
342831;Bø M.LEZCANO M:7 C:9;S/N;;;
342832;PLAN JOVENES 25/35 M:;S/N;C C11;;
342833;B° M, TORO MZ.1;S/N;;;
342834;B° SERRANIAS PUNT M: 44;S/N;C: 5;;
342835;B° EL LINCE M:24 C:2;S/N;;;
342836;Bø J.F.BOGADO;S/N;C:2;;
342837;B° EL LINCE- MZ 21- C.5;S/N;;;
342838;B° EL LINCE JOSE ZAVALA;S/N;795;;
342839;B° 544 VIV. MZ.M CS.23;S/N;;;
342840;Bø J.F.BOGADO;S/N;RC:17;;
342841;B° SAN LUIS 23 ZONA SUR M;S/N;E C27;;
342842;B° MAXIMILIANO TORO;S/N;H C19;;
342843;B° M.LEZCANO;S/N;E C13;;
342844;B° J.DEL SUR MZ.B CS.2;S/N;;MZ.B;
342845;B° 544 VV. M:E;S/N;C:06;;
342846;Bø J.DE DIOS GARRO;S/N;F6 C8;;
342847;B° 110 VIV. MZ.196 C.16;S/N;;;
342848;B° L.RODRIGUEZ MZ.I CS.9;S/N;;MZ.I;
342849;B° 544 VIV. MZ.U CS.17;S/N;;;
342850;B L. RODRIGUEZ M:B C:17;S/N;;;
342851;B° J.F.BOGADO MZ.LL CS.8;S/N;;;
342852;B° L.RODRIGUEZ M:;S/N;R C12;;
342853;B° LUCAS RODRIGUEZ M:;S/N;I C:5;;
342854;CALLE:45 CS:1266;S/N;;;
342855;BøM.TORO M:;S/N;L.C:8;;
342856;BøJ.DEL D.GARRO M:P C:7;S/N;;;
342857;B° SAN LUIS XV MZ: D;S/N;CS:17;;
342858;B° M.TORO MZ.M CS.9;S/N;;;
342859;B° 114 VIV. MZ.188 CS.2;S/N;;;
342860;B° M.TORO MZ.L CS.14;S/N;;;
342861;B° J.F.BOGADO MZ.A CS.26;S/N;;MZ.A;
342862;B° J.DE DIOS GARRO MZ.C3;S/N;CS.17;MZ.C;
342863;B° SAN LUIS XV(15) MZ.I C;S/N;CS.3;MZ.I;
342864;B° SAN LUIS XV(15) MZ.L C;S/N;CS.11;;
342865;BøF.BOGADO MZ.A C.1;S/N;;MZ.A;
342866;B° M.LEZCANO MZ.L CS.16;S/N;;;
342867;B° 544 VIV. M:C;S/N;C:14;;
342868;B° JARDIN DEL SUR M:;S/N;C C13;;
342869;B° M.TORO MZ.C CS.12;S/N;;MZ.C;
342870;B°JARDIN SUR MZ.G C.5;S/N;;MZ.G;
342871;B° 110 VIV. M:194 C:13;S/N;;;
342872;B° J.DEL SUR M:;S/N;I C27;;
342873;B° J.F.BOGADO MZ.G CS.12;S/N;;MZ.G;
342874;B° J.F.BOGADO MZ.M C.17;S/N;;;
342875;B° L.RODRIGUEZ MZ:H CS:3;S/N;;;
342876;Bø L.RODRIGUEZ MZ.A CS.27;S/N;;MZ.A;
342877;B°E.DEL SUR M:;S/N;EC:61;;
342878;Bø J.F.BOGADO M:;S/N;CC:28;;
342879;B°J.DE DIOS GARRO M:;S/N;A1C11;;
342880;B°F.BOGADO MZ.K C.27;S/N;;;
342881;B° M.LEZCANO MZ:K;S/N;C:13;;
342882;Bø SAN LUIS XV M:K;S/N;C:4;;
342883;B° J.F.BOGADO MZ.L CS.24;S/N;;;
342884;B° L.RODRIGUEZ MZ.I 9 CS.;S/N;1;MZ.I;
342885;B° EL HORNERO MZ:D;S/N;C:18;;
342886;B° EL HORNERO M:;S/N;E C26;;
342887;B° SAN LUIS 23 M:B CS:3;S/N;;;
342888;EL HORNERO;S/N;H-08;;
342889;B° SAN LUIS XV(15) M:;S/N;JC:18;;
342890;Bø.E.DEL SUR MZ:;S/N;F.C81;;
342891;Bø M.TORO M:;S/N;G C17;;
342892;B° L.RODRIGUEZ MZ.W CS.11;S/N;;;
342893;B° EL HORNERO MZ.F CS.13;S/N;;MZ.F;
342894;B° J.F.BOGADO MZ.Q CS.3;S/N;;;
342895;B° 544 VIV. MZ.N CS.25;S/N;;;
342896;B° PUCARA MZ.F CS.12;S/N;;MZ.F;
342897;B° J.F.BOGADO MZ.K C.21;S/N;;;
342898;B° M.TORO M:F;S/N;C:1;;
342899;MANUEL LESCANO MZ. I C.N.;S/N;;;
342900;B° J.DEL SUR MZ.D CS.11;S/N;;MZ.D;
342901;B° 544 VDAS MZ.C CS.13;S/N;;MZ C;
342902;B° SAN LUIS XXVI M:5 C:5;S/N;;;
342903;B° VIRGEN DE LUJAN M:C;S/N;C:29;;
342904;B° EL HORNERO MZ.C CS.27;S/N;;MZ.C;
342905;B°J.DE DIOS GARRO MZ.C 14;S/N;;MZ.C;
342906;Bø MANUEL LEZCANO MZ: L;S/N;C: 20;;
342907;B° F.AMERICANOS MZ.B;S/N;CS.15;MZ.B;
342908;B°L.RODRIGUEZ MZ.I CS.2;S/N;;MZ.I;
342909;B° 109 VIV.M:B C:20;S/N;;;
342910;B° EL LINCE MZ.23 CS.26;S/N;;;
342911;B°PUCARA M:;S/N;F C21;;
342912;B° EL LINCE MZ.24 CS.14;S/N;;;
342913;Bø JARDIN DEL SUR M:D;S/N;C:9;;
342914;RUTA 3 KM. 4;S/N;;;
342915;B° EL LINCE MZ.20 CS.9;S/N;;;
342916;BøEL LINCE MZ.23 CS.22;S/N;;;
342917;Bø L.RODRIGUEZ MZA. U;S/N;C.11;;
342918;B° 544 VIV. MZ.I CS.13;S/N;;MZ I;
342919;SALVADOR SEGADO;S/N;C.9;;
342920;Bø EL HORNERO MZ.J CS.14;S/N;;;
342921;B° 110 VIV. MZ.191 CS.12;S/N;;;
342922;B° SAN LUIS XV(15) M:;S/N;J C:3;;
342923;B° E,DEL SUR MZA.E CS.59;S/N;;;
342924;B°SAN LUIS XV MZ.J C.23;S/N;;;
342925;B° EL HORNERO MZ.B C.2;S/N;;MZ.B;
342926;BøEL HORNERO MZ.G C.2;S/N;;MZ.G;
342927;B° 544 VDAS M:;S/N;N C:3;;
342928;B° 500 VDAS M:143 C:15;S/N;;;
342929;B° ESTRELLA DEL SUR MZA A;S/N;C:8;;
342930;MAXIMILIANO TORO MZ: M;S/N;C:06;;
342931;BøS.LUIS XXIII MZ:C :;S/N;C:7;;
342932;MANUEL LEZCANO M: C;S/N;C:5;;
342933;RUTA 3 KM 12;S/N;;;
342934;B° MANUEL LEZCANO M:;S/N;D C:7;;
342935;544 VIVIENDAS MZA F;S/N;C:21;;
342936;B° J.F.BOGADO MZ.LL CS.7;S/N;;;
342937;B° 200 VIV.MUNICIPAL M:B;S/N;C:21;;
342938;B° JARDIN DEL SUR;S/N;G C13;;
342939;B° M.LEZCANO MZ.G CS.8;S/N;;MZ.G;
342940;B° J.F.BOGADO MZ.K CS.6;S/N;;;
342941;B° M.TORO MZ.Q C.14;S/N;;;
342942;B° EL HORNERO MZ.E CS.2;S/N;;MZ.E;
