Unnamed: 0|id|periodo|central|agente|agente_descripcion|region|categoria_region|tipo_maquina|fuente_generacion|tecnologia|potencia_instalada_mw|fecha_proceso|lote_id_log|mes|indice_tiempo
0|2|01/10/2015 0:00|ABRO|CTBROWNG|C.T. ALMIRANTE BROWN|GRAN BS.AS.|Gba - Litoral - Buenos Aires|DI|Térmica|Motor Diesel|25.0|47:17.9|4|10|2015-10
1|3|01/10/2015 0:00|ACAJ|CAPEXSAG|C.T. AGUA DEL CAJON|COMAHUE|Comahue|TG|Térmica|Ciclos Combinados|184.4|47:17.9|4|10|2015-10
2|4|01/10/2015 0:00|ADTOHI|HIDIAMAG|H. DIAMANTE SA|CUYO|Cuyo|HI|Hidráulica|Hidráulica|150.0|47:17.9|4|10|2015-10
3|5|01/10/2015 0:00|AESP|CTAESPAG|C.T. AES PARANA|BUENOS AIRES|Gba - Litoral - Buenos Aires|TG|Térmica|Ciclos Combinados|525.96|47:17.9|4|10|2015-10
4|6|01/10/2015 0:00|AESP|CTAESPAG|C.T. AES PARANA|BUENOS AIRES|Gba - Litoral - Buenos Aires|TV|Térmica|Ciclos Combinados|319.3|47:17.9|4|10|2015-10
5|7|01/10/2015 0:00|ALEM|CTALEMAG|CT ALEM - AGGREKO|NORESTE|Nea|DI|Térmica|Motor Diesel|15.0|47:17.9|4|10|2015-10
6|8|01/10/2015 0:00|ALICHI|HALICURG|AES ALICURA.|COMAHUE|Comahue|HI|Hidráulica|Hidráulica|1050.0|47:17.9|4|10|2015-10
7|9|01/10/2015 0:00|ALUM|CTALUMSG|CT ALUMINÉ - SECCO|COMAHUE|Comahue|DI|Térmica|Motor Diesel|6.3|47:17.9|4|10|2015-10
8|10|01/10/2015 0:00|AMEGHI|HAMEGHIG|HIDROELECTRICA AMEGHINO SA|PATAGONICA|Patagonia|HI|Hidráulica|Hidráulica|46.8|47:17.9|4|10|2015-10
9|11|01/10/2015 0:00|ANAT|CTANA2SG|CT AÑATUYA II - SULLAIR|NOROESTE|Noa|DI|Térmica|Motor Diesel|11.5|47:17.9|4|10|2015-10
10|12|01/10/2015 0:00|ANAT|CTANATSG|CT AÑATUYA - SULLAIR|NOROESTE|Noa|DI|Térmica|Motor Diesel|19.2|47:17.9|4|10|2015-10
11|13|01/10/2015 0:00|ARA2EO|PEARAU2G|PARQUE EOLICO ARAUCO II SAPEM|NOROESTE|Noa|EO|Renovable|Eólica|25.2|47:17.9|4|10|2015-10
12|14|01/10/2015 0:00|ARAUEO|PEARAUCG|PARQUE EOLICO ARAUCO SAPEM|NOROESTE|Noa|EO|Renovable|Eólica|25.2|47:17.9|4|10|2015-10
13|15|01/10/2015 0:00|ARGE|SIDERCAC|SIDERCA SA(EX ARGENER-GEN.PAR)|BUENOS AIRES|Gba - Litoral - Buenos Aires|TG|Térmica|Turbina a gas|163.3|47:17.9|4|10|2015-10
14|16|01/10/2015 0:00|ARIS|CTARIVSG|CT ARISTOBU.DEL VALLE-SOENERGY|NORESTE|Nea|DI|Térmica|Motor Diesel|15.0|47:17.9|4|10|2015-10
15|17|01/10/2015 0:00|ARMA|CTLARM2G|CT LAS ARMAS II - EMGASUD|BUENOS AIRES|Gba - Litoral - Buenos Aires|TG|Térmica|Turbina a gas|23.37|47:17.9|4|10|2015-10
